title,ott
이십일세기 소녀,"{'streaming': {'Watcha': 'https://watcha.com/contents/m5Daka0'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CT01_MBC000013426', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%259D%25B4%25EC%258B%25AD%25EC%259D%25BC%25EC%2584%25B8%25EA%25B8%25B0_%25EC%2586%258C%25EB%2585%2580?gl=KR%26hl=en%26id=Wc9eVBrfGYU.P'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=5493823', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%259D%25B4%25EC%258B%25AD%25EC%259D%25BC%25EC%2584%25B8%25EA%25B8%25B0_%25EC%2586%258C%25EB%2585%2580?gl=KR%26hl=en%26id=Wc9eVBrfGYU.P'}}"
Thai Sisters,"{'streaming': {'Watcha': 'https://watcha.com/contents/mOkLleE'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_LX01_LX0000000689'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=6034872'}}"
인투 더 미러,"{'streaming': {'Watcha': 'https://watcha.com/contents/mW4LLpP'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_EN01_EN000000906', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=5962402'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=3289343', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_EN01_EN000000906'}}"
오필리아,"{'streaming': {}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CW01_CW0000011575', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=6438851', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2598%25A4%25ED%2595%2584%25EB%25A6%25AC%25EC%2595%2584?gl=KR%26hl=en%26id=MeRSHqVQc5E.P'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=6438852', 'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CW01_CW0000011575', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2598%25A4%25ED%2595%2584%25EB%25A6%25AC%25EC%2595%2584?gl=KR%26hl=en%26id=MeRSHqVQc5E.P'}}"
주둥이들,"{'streaming': {}, 'rent': {}, 'buy': {}}"
삼국지 : 무신 조자룡,"{'streaming': {'Watcha': 'https://watcha.com/contents/m5YLoXX'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CT01_MBC000013664', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2582%25BC%25EA%25B5%25AD%25EC%25A7%2580_%25EB%25AC%25B4%25EC%258B%25A0_%25EC%25A1%25B0%25EC%259E%2590%25EB%25A3%25A1?gl=KR%26hl=en%26id=BliyeZrAeRc.P'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=6283376', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%2582%25BC%25EA%25B5%25AD%25EC%25A7%2580_%25EB%25AC%25B4%25EC%258B%25A0_%25EC%25A1%25B0%25EC%259E%2590%25EB%25A3%25A1?gl=KR%26hl=en%26id=BliyeZrAeRc.P'}}"
콘크리트 카우보이,"{'streaming': {'Netflix': 'http://www.netflix.com/title/81368729'}, 'rent': {}, 'buy': {}}"
장교와 스파이,"{'streaming': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_C901_SG0000134596', 'Watcha': 'https://watcha.com/contents/mOgjB3z'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_C901_SG0000134596', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%259E%25A5%25EA%25B5%2590%25EC%2599%2580_%25EC%258A%25A4%25ED%258C%258C%25EC%259D%25B4?gl=KR%26hl=en%26id=4N36lbmucBY.P'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=5746849', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%259E%25A5%25EA%25B5%2590%25EC%2599%2580_%25EC%258A%25A4%25ED%258C%258C%25EC%259D%25B4?gl=KR%26hl=en%26id=4N36lbmucBY.P'}}"
미스비헤이비어,"{'streaming': {}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CS01_PAN000011142', 'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=5216014'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=5216013', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25AF%25B8%25EC%258A%25A4%25EB%25B9%2584%25ED%2597%25A4%25EC%259D%25B4%25EB%25B9%2584%25EC%2596%25B4?gl=KR%26hl=en%26id=ZojhACeoFBM.P'}}"
리얼생존예능 펀하우스,"{'streaming': {}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_TW01_TW0000000662'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%25A6%25AC%25EC%2596%25BC%25EC%2583%259D%25EC%25A1%25B4%25EC%2598%2588%25EB%258A%25A5_%25ED%258E%2580%25ED%2595%2598%25EC%259A%25B0%25EC%258A%25A4?gl=KR%26hl=en%26id=03qOnA671bk.P'}}"
너와 파도를 탈 수 있다면,"{'streaming': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CK01_TCO000012507', 'Watcha': 'https://watcha.com/contents/mdKpRD7'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CK01_TCO000012507', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%2584%2588%25EC%2599%2580_%25ED%258C%258C%25EB%258F%2584%25EB%25A5%25BC_%25ED%2583%2588_%25EC%2588%2598_%25EC%259E%2588%25EB%258B%25A4%25EB%25A9%25B4?gl=KR%26hl=en%26id=_2MkObei1NA.P'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=5325367', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%2584%2588%25EC%2599%2580_%25ED%258C%258C%25EB%258F%2584%25EB%25A5%25BC_%25ED%2583%2588_%25EC%2588%2598_%25EC%259E%2588%25EB%258B%25A4%25EB%25A9%25B4?gl=KR%26hl=en%26id=_2MkObei1NA.P'}}"
왓 라이즈 빌로우,"{'streaming': {}, 'rent': {}, 'buy': {}}"
라스트 배틀,"{'streaming': {'Watcha': 'https://watcha.com/contents/m5NnVjE'}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CT01_MBC000012752', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%259D%25BC%25EC%258A%25A4%25ED%258A%25B8_%25EB%25B0%25B0%25ED%258B%2580?gl=KR%26hl=en%26id=FdiYtEED0jM.P'}, 'buy': {'Naver Store': 'http://serieson.naver.com/movie/detail.nhn?productNo=4448899', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EB%259D%25BC%25EC%258A%25A4%25ED%258A%25B8_%25EB%25B0%25B0%25ED%258B%2580?gl=KR%26hl=en%26id=FdiYtEED0jM.P'}}"
폴라,"{'streaming': {'Netflix': 'http://www.netflix.com/title/80223052'}, 'rent': {}, 'buy': {}}"
제인의 썸머,"{'streaming': {}, 'rent': {'wavve': 'https://www.wavve.com/player/movie?movieid=MV_CT01_MBC000013304', 'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%25A0%259C%25EC%259D%25B8%25EC%259D%2598_%25EC%258D%25B8%25EB%25A8%25B8?gl=KR%26hl=en%26id=15SbmLCsk5Y.P'}, 'buy': {'Google Play Movies': 'https://play.google.com/store/movies/details/%25EC%25A0%259C%25EC%259D%25B8%25EC%259D%2598_%25EC%258D%25B8%25EB%25A8%25B8?gl=KR%26hl=en%26id=15SbmLCsk5Y.P'}}"
블랙 워터: 아비스,"{'streaming': {}, 'rent': {}, 'buy': {}}"
가족의 투시도,"{'streaming': {}, 'rent': {}, 'buy': {}}"
언브레이커블 키미슈미트 - 키미 대 교주,"{'streaming': {'Netflix': 'http://www.netflix.com/title/81131714'}, 'rent': {}, 'buy': {}}"
